epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,467.758,0.86226,0.80971,0.99165,0.43225,0.74672,0.45409,0.32458,0.97954,1.42583,1.03914,0.000825332,0.000825332,0.000825332
53,476.737,0.88665,0.81119,0.99552,0.45222,0.7197,0.48494,0.3573,0.96697,1.25209,1.0323,0.000808828,0.000808828,0.000808828
54,485.803,0.86062,0.78622,0.97553,0.40383,0.74385,0.40539,0.2962,0.98929,1.54878,1.03605,0.000792325,0.000792325,0.000792325
55,494.808,0.85787,0.77579,0.97272,0.42614,0.80847,0.45033,0.33103,0.98447,1.52477,1.03931,0.000775822,0.000775822,0.000775822
56,503.754,0.8554,0.80678,0.98215,0.37065,0.79655,0.4182,0.30633,0.95992,1.55502,1.02413,0.000759318,0.000759318,0.000759318
57,512.723,0.86345,0.76146,0.97838,0.45824,0.77019,0.48917,0.35989,0.98093,1.29699,1.03162,0.000742815,0.000742815,0.000742815
58,521.792,0.8161,0.73149,0.96288,0.42607,0.8334,0.48217,0.35188,0.97555,1.32423,1.03193,0.000726312,0.000726312,0.000726312
59,530.824,0.86311,0.75305,0.96869,0.39246,0.75172,0.46934,0.34599,0.95905,1.60169,1.0371,0.000709809,0.000709809,0.000709809
60,539.92,0.84175,0.74286,0.96627,0.3852,0.77795,0.43553,0.32002,1.00323,1.81554,1.06352,0.000693305,0.000693305,0.000693305
61,548.97,0.85417,0.73904,0.97612,0.41946,0.8249,0.45697,0.33959,0.96945,1.49017,1.04658,0.000676802,0.000676802,0.000676802
62,557.989,0.81075,0.70269,0.96496,0.44194,0.78792,0.47958,0.35088,0.99444,1.5184,1.04027,0.000660299,0.000660299,0.000660299
63,566.864,0.83129,0.71468,0.96833,0.40288,0.79713,0.44087,0.31718,0.97991,1.4371,1.02566,0.000643795,0.000643795,0.000643795
64,575.843,0.85867,0.73141,0.9749,0.45466,0.77174,0.49828,0.36869,0.98001,1.35297,1.04314,0.000627292,0.000627292,0.000627292
65,584.838,0.81052,0.74573,0.96087,0.41442,0.7275,0.42565,0.31195,0.99824,1.44286,1.04369,0.000610789,0.000610789,0.000610789
66,593.788,0.7671,0.6706,0.93874,0.45992,0.69495,0.50387,0.36801,0.96757,1.41285,1.01859,0.000594286,0.000594286,0.000594286
67,602.718,0.82342,0.67995,0.95705,0.47207,0.70447,0.50368,0.37036,0.99547,1.42442,1.03406,0.000577782,0.000577782,0.000577782
68,611.67,0.82178,0.69258,0.96151,0.45856,0.74458,0.4854,0.35642,0.99065,1.53438,1.03143,0.000561279,0.000561279,0.000561279
69,620.952,0.8187,0.66153,0.96407,0.41102,0.77672,0.45263,0.32817,0.98637,1.81963,1.05342,0.000544776,0.000544776,0.000544776
70,629.915,0.81038,0.66691,0.95791,0.42152,0.77439,0.49016,0.36309,0.97577,1.70299,1.0386,0.000528272,0.000528272,0.000528272
71,638.864,0.80144,0.65636,0.95042,0.29233,0.93656,0.45489,0.33961,0.99871,2.30884,1.06161,0.000511769,0.000511769,0.000511769
72,647.926,0.78438,0.64889,0.9383,0.41571,0.80691,0.46693,0.34019,0.97478,1.53792,1.03384,0.000495266,0.000495266,0.000495266
73,656.98,0.78676,0.63963,0.96158,0.41234,0.73163,0.44903,0.32923,0.99916,1.68726,1.04725,0.000478762,0.000478762,0.000478762
74,666.035,0.80407,0.6258,0.95377,0.42255,0.79255,0.44805,0.32804,0.98182,1.66021,1.03766,0.000462259,0.000462259,0.000462259
75,675.005,0.80146,0.62092,0.95436,0.51558,0.64777,0.52041,0.38847,0.96142,1.41056,1.02078,0.000445756,0.000445756,0.000445756
76,684.047,0.77194,0.6053,0.93678,0.4102,0.72621,0.45731,0.33876,0.99225,1.89801,1.04426,0.000429253,0.000429253,0.000429253
77,693.014,0.77027,0.63819,0.93592,0.41244,0.73074,0.448,0.33316,0.97916,1.91102,1.03187,0.000412749,0.000412749,0.000412749
78,702.034,0.76711,0.59723,0.93518,0.44991,0.74645,0.5185,0.38485,0.99714,1.52763,1.05814,0.000396246,0.000396246,0.000396246
79,711.194,0.79349,0.59659,0.9412,0.41364,0.75754,0.47337,0.346,0.98013,1.74832,1.04734,0.000379743,0.000379743,0.000379743
80,720.146,0.761,0.59113,0.93948,0.47068,0.72253,0.51204,0.38389,0.96394,1.42839,1.02257,0.000363239,0.000363239,0.000363239
81,729.197,0.77662,0.60364,0.94471,0.3973,0.74496,0.4405,0.32285,0.9844,1.80282,1.04597,0.000346736,0.000346736,0.000346736
82,738.187,0.7537,0.5755,0.93058,0.39684,0.71828,0.44861,0.33067,0.97343,1.89582,1.03748,0.000330233,0.000330233,0.000330233
83,747.258,0.75691,0.57127,0.93322,0.44056,0.77031,0.49809,0.3758,0.95426,1.62307,1.01656,0.000313729,0.000313729,0.000313729
84,756.31,0.74461,0.56593,0.93274,0.47394,0.67258,0.52135,0.38304,0.97625,1.50563,1.04769,0.000297226,0.000297226,0.000297226
85,765.413,0.75659,0.55781,0.93688,0.44934,0.73084,0.47086,0.34889,0.95962,1.65514,1.03728,0.000280723,0.000280723,0.000280723
86,774.463,0.73945,0.53536,0.93401,0.44406,0.72373,0.48317,0.35675,0.95854,1.63651,1.034,0.00026422,0.00026422,0.00026422
87,783.446,0.74781,0.54922,0.94181,0.42708,0.72697,0.49603,0.36293,0.99743,1.74931,1.04419,0.000247716,0.000247716,0.000247716
88,792.462,0.74152,0.52868,0.93163,0.46032,0.73654,0.53207,0.39188,0.97527,1.74469,1.04363,0.000231213,0.000231213,0.000231213
89,801.48,0.73191,0.53987,0.92367,0.42244,0.69077,0.46801,0.34159,0.97639,1.99466,1.04398,0.00021471,0.00021471,0.00021471
90,810.475,0.74305,0.54313,0.9389,0.43958,0.74197,0.50202,0.37355,0.98341,1.6243,1.04626,0.000198206,0.000198206,0.000198206
91,838.75,0.69068,0.48511,0.90094,0.43376,0.70626,0.47515,0.34452,0.98691,1.94608,1.05768,0.000181703,0.000181703,0.000181703
92,847.831,0.6776,0.47405,0.89993,0.42989,0.74022,0.51346,0.37614,0.97106,1.7499,1.03593,0.0001652,0.0001652,0.0001652
93,856.797,0.65458,0.43821,0.88975,0.48949,0.68729,0.51954,0.37998,0.96336,1.59033,1.03828,0.000148696,0.000148696,0.000148696
94,865.716,0.65543,0.43424,0.89657,0.44061,0.72525,0.49052,0.35835,0.96295,1.7591,1.04447,0.000132193,0.000132193,0.000132193
95,874.58,0.64589,0.41221,0.90372,0.44395,0.71149,0.48802,0.3626,0.95609,1.79937,1.028,0.00011569,0.00011569,0.00011569
96,883.483,0.64153,0.42233,0.88965,0.50266,0.68775,0.52455,0.38191,0.97556,1.66216,1.05096,9.91865e-05,9.91865e-05,9.91865e-05
97,892.513,0.65068,0.4094,0.89165,0.45023,0.72048,0.49866,0.36361,0.98271,1.85948,1.04864,8.26832e-05,8.26832e-05,8.26832e-05
98,901.645,0.64658,0.40585,0.88808,0.45588,0.71324,0.49194,0.36221,0.97069,1.89408,1.04008,6.61799e-05,6.61799e-05,6.61799e-05
99,910.679,0.63573,0.41054,0.89047,0.47586,0.69061,0.51128,0.37698,0.97194,1.76715,1.04612,4.96766e-05,4.96766e-05,4.96766e-05
100,919.956,0.62733,0.40385,0.88195,0.46298,0.71473,0.50847,0.37553,0.96815,1.77603,1.04359,3.31733e-05,3.31733e-05,3.31733e-05
