epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2143,1.34227,3.36559,1.2213,0.00123,0.37375,0.01727,0.01078,1.19139,3.51902,1.19584,0.000545744,0.000545744,0.000545744
2,19.161,1.23244,2.47016,1.14588,0.44323,0.66674,0.42925,0.30086,1.12892,2.08693,1.12083,0.00109051,0.00109051,0.00109051
3,27.9288,1.2703,2.1445,1.17755,0.46655,0.74761,0.46097,0.29126,1.21835,1.78152,1.15441,0.00162427,0.00162427,0.00162427
4,36.7217,1.22925,1.88051,1.17414,0.43044,0.69951,0.41606,0.28084,1.1681,1.74465,1.13624,0.00161749,0.00161749,0.00161749
5,45.3185,1.17549,1.67652,1.13591,0.37101,0.81341,0.40063,0.25833,1.13662,1.55986,1.11036,0.00160099,0.00160099,0.00160099
6,53.905,1.14266,1.52752,1.11308,0.44027,0.73645,0.44769,0.30378,1.15234,1.35975,1.10136,0.00158448,0.00158448,0.00158448
7,62.4972,1.16863,1.44403,1.12423,0.47734,0.78872,0.48884,0.33699,1.08496,1.29861,1.07629,0.00156798,0.00156798,0.00156798
8,71.3493,1.11613,1.34771,1.09439,0.46993,0.7804,0.47782,0.32939,1.0572,1.27468,1.07069,0.00155148,0.00155148,0.00155148
9,80.2053,1.14334,1.34247,1.10853,0.4478,0.82389,0.49295,0.33536,1.04038,1.27394,1.04612,0.00153497,0.00153497,0.00153497
10,89.0543,1.10849,1.32058,1.09234,0.45215,0.81872,0.45844,0.31438,1.0987,1.26884,1.08473,0.00151847,0.00151847,0.00151847
11,98.1347,1.07447,1.28406,1.07817,0.45311,0.79259,0.4709,0.32286,1.11561,1.24178,1.0872,0.00150197,0.00150197,0.00150197
12,107.069,1.07433,1.23835,1.08633,0.45679,0.80017,0.48925,0.34713,1.04977,1.18792,1.03225,0.00148546,0.00148546,0.00148546
13,115.953,1.05352,1.23491,1.07123,0.44864,0.85854,0.46439,0.34313,0.9493,1.20955,1.01414,0.00146896,0.00146896,0.00146896
14,124.848,1.08244,1.22753,1.06966,0.46096,0.81354,0.47702,0.33853,1.06825,1.2303,1.05397,0.00145246,0.00145246,0.00145246
15,133.848,1.02203,1.17065,1.04166,0.46729,0.83164,0.48581,0.34166,1.0476,1.18509,1.05035,0.00143595,0.00143595,0.00143595
16,142.874,1.01503,1.17372,1.05117,0.45406,0.79467,0.4835,0.34405,1.09728,1.36022,1.11222,0.00141945,0.00141945,0.00141945
17,151.892,1.07013,1.16948,1.08991,0.45834,0.82363,0.48377,0.35166,0.95765,1.21298,1.02381,0.00140295,0.00140295,0.00140295
18,160.886,1.0393,1.17284,1.0597,0.43087,0.87386,0.45722,0.32637,1.00938,1.27006,1.04051,0.00138644,0.00138644,0.00138644
19,169.921,1.03187,1.17044,1.05109,0.44619,0.86488,0.47902,0.34506,1.01412,1.21427,1.05415,0.00136994,0.00136994,0.00136994
20,178.888,1.01408,1.11402,1.05048,0.42923,0.82132,0.44887,0.32084,1.0167,1.26047,1.05807,0.00135344,0.00135344,0.00135344
21,187.903,1.00707,1.11301,1.04718,0.41213,0.84018,0.44827,0.30927,1.04167,1.21179,1.03335,0.00133693,0.00133693,0.00133693
22,196.866,1.0197,1.10183,1.04312,0.42412,0.82889,0.45916,0.32262,1.13936,1.41012,1.12344,0.00132043,0.00132043,0.00132043
23,205.821,0.99573,1.07395,1.0427,0.39948,0.89048,0.44285,0.31752,0.99941,1.21892,1.03485,0.00130393,0.00130393,0.00130393
24,214.738,1.00134,1.08755,1.04531,0.35839,0.8424,0.41423,0.29223,0.99117,1.42578,1.03215,0.00128742,0.00128742,0.00128742
25,223.574,0.9781,1.06237,1.03099,0.44516,0.88584,0.47537,0.33729,0.99039,1.22067,1.03219,0.00127092,0.00127092,0.00127092
26,232.455,0.96496,1.07428,1.03219,0.44045,0.90002,0.47359,0.32835,0.97162,1.27669,1.04795,0.00125442,0.00125442,0.00125442
27,241.374,0.99155,1.05609,1.03647,0.41068,0.83959,0.42007,0.29652,1.0326,1.21991,1.06529,0.00123791,0.00123791,0.00123791
28,250.755,0.98955,1.06479,1.03563,0.4121,0.80967,0.4305,0.30423,1.00392,1.39145,1.05638,0.00122141,0.00122141,0.00122141
29,260.137,0.95518,1.03688,1.01678,0.41663,0.84714,0.48043,0.34333,1.00814,1.31907,1.0746,0.00120491,0.00120491,0.00120491
30,269.32,0.99181,1.03325,1.02805,0.41997,0.8374,0.42555,0.29587,1.05158,1.47654,1.06347,0.0011884,0.0011884,0.0011884
31,278.893,0.94897,1.0024,1.00998,0.41839,0.87435,0.44538,0.317,0.9949,1.20333,1.02665,0.0011719,0.0011719,0.0011719
32,287.93,0.95856,1.00766,1.02391,0.42627,0.85349,0.44394,0.30985,1.00747,1.24737,1.02992,0.0011554,0.0011554,0.0011554
33,296.959,0.96194,0.97668,1.02871,0.40948,0.85058,0.41913,0.28952,1.01382,1.3326,1.02748,0.00113889,0.00113889,0.00113889
34,305.957,0.94501,0.9913,1.01662,0.39787,0.8052,0.43243,0.30115,1.03628,1.70414,1.05916,0.00112239,0.00112239,0.00112239
35,315.04,0.96163,0.9728,1.02083,0.39381,0.82882,0.41624,0.29617,0.99507,1.30677,1.04612,0.00110589,0.00110589,0.00110589
36,324.008,0.92197,0.95653,1.00801,0.41969,0.82639,0.43141,0.31015,1.02756,1.34949,1.06664,0.00108938,0.00108938,0.00108938
37,332.97,0.91873,0.9423,1.00778,0.413,0.8231,0.45145,0.32304,0.99474,1.40598,1.04328,0.00107288,0.00107288,0.00107288
38,341.975,0.918,0.94308,0.99376,0.41907,0.83009,0.4398,0.3117,1.01012,1.38875,1.06226,0.00105638,0.00105638,0.00105638
39,350.973,0.92242,0.94605,1.00283,0.41935,0.82438,0.4373,0.3097,1.01634,1.26712,1.05086,0.00103987,0.00103987,0.00103987
40,359.926,0.9393,0.91221,1.01047,0.37269,0.76045,0.39921,0.27745,1.03679,1.60588,1.0357,0.00102337,0.00102337,0.00102337
41,368.923,0.91713,0.9061,1.00637,0.35477,0.68673,0.36803,0.25356,0.99402,1.88214,1.0423,0.00100687,0.00100687,0.00100687
42,377.92,0.90826,0.9173,0.9913,0.37002,0.77754,0.39056,0.26615,1.00369,1.6577,1.04271,0.000990365,0.000990365,0.000990365
43,386.959,0.91908,0.92371,1.00727,0.40259,0.81316,0.42852,0.30281,0.96734,1.52386,1.02695,0.000973861,0.000973861,0.000973861
44,395.921,0.90505,0.92337,1.00154,0.4095,0.85619,0.44351,0.31606,1.00888,1.29601,1.06171,0.000957358,0.000957358,0.000957358
45,404.842,0.90848,0.89582,0.99928,0.37213,0.73304,0.42863,0.29908,1.03667,1.80739,1.079,0.000940855,0.000940855,0.000940855
46,413.792,0.90375,0.87146,1.0048,0.41126,0.80693,0.43715,0.31863,0.98564,1.41426,1.0392,0.000924352,0.000924352,0.000924352
47,422.773,0.91074,0.8768,1.01347,0.40992,0.84123,0.43244,0.30712,1.00048,1.28332,1.04841,0.000907848,0.000907848,0.000907848
48,431.86,0.90118,0.856,0.9934,0.42263,0.74305,0.43461,0.30972,1.00023,1.45866,1.03267,0.000891345,0.000891345,0.000891345
49,440.887,0.87308,0.848,0.99008,0.42318,0.81987,0.45001,0.32753,0.97038,1.35252,1.02494,0.000874842,0.000874842,0.000874842
50,449.87,0.88305,0.84495,0.98925,0.41303,0.82216,0.46171,0.33151,0.98382,1.21329,1.0297,0.000858338,0.000858338,0.000858338
51,458.838,0.87493,0.83604,0.9928,0.45407,0.73879,0.47058,0.34224,0.97252,1.27436,1.01843,0.000841835,0.000841835,0.000841835
